air_temp [K],process_temp [K],speed [RPM],torque [Nm],tool_wear [min],product_type_H,product_type_L,product_type_M,target
-1.5868932986126734,-1.3349579586404396,-0.5877949348177749,0.5092322854498438,-1.090530074695218,0.0,1.0,0.0,0
-1.4838749367311066,-1.1081587881006243,-0.36472157843067493,0.6922027478842229,0.3078201210413804,0.0,0.0,1.0,0
-1.2057253596509583,-1.4785974333156486,-0.3214386883854167,1.3178209829002359,-1.518596461145197,0.0,1.0,0.0,1
0.4528702666419039,0.6759946868125313,-0.22155509597328246,0.2404064521808708,1.221028412134669,0.0,1.0,0.0,1
-1.0718014892049565,-0.6545604470209939,-0.3613921253502705,-0.13116433307048453,0.5789288324597005,0.0,1.0,0.0,0
1.029773093178549,0.29043609689486694,-0.6910079803103136,0.7956514324144301,0.050980289171392974,0.0,1.0,0.0,1
-0.09312705133027713,0.313116013948827,-0.19824892441045114,0.25096244039823873,1.1782217734896712,0.0,1.0,0.0,1
0.11290967243279788,1.235432640810728,-0.6044422002197972,0.9455464651010561,0.9071130620713511,0.0,1.0,0.0,1
-0.5464078436090656,-0.48824105529182477,-0.6477250902650554,-0.01715966032290981,1.1639528939413386,0.0,1.0,0.0,1
-2.462549374605786,-2.998151875932346,-0.19824892441045114,0.3403364739719546,0.36489563923471097,1.0,0.0,0.0,0
1.0915841103074775,1.0842331937841987,1.7428222214653586,-1.8130851223711268,0.6930798688463616,0.0,0.0,1.0,0
1.0915841103074775,1.0086334702709125,1.2234275409222601,-1.2289871076767616,0.3078201210413804,0.0,1.0,0.0,0
0.14381518099726207,0.6835546591638513,-0.9440464144210537,1.377638249465322,0.8072309052330227,0.0,1.0,0.0,1
-0.6391243693024581,-0.5336008893997878,-0.15496603436519293,0.9673621740836169,0.6217354711046984,0.0,1.0,0.0,1
0.5764923008997606,0.32823595865150995,0.5775136433237918,-1.046016645242382,-1.2189499906302117,0.0,0.0,1.0,0
0.061400491492043775,-0.04976265891483438,-0.7342908703555718,0.3544111249284455,0.06524916871972561,0.0,1.0,0.0,0
